frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
83	1347.759268733	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
84	1381.060905972	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
85	1381.060979096	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
86	1381.061281906	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
87	1441.107370908	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
88	1441.107471740	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
89	1441.107987100	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
90	1501.153482644	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
91	1501.153551497	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
92	1501.153925973	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
93	1561.199795119	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
94	1561.199863973	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
95	1561.200265427	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
96	1621.246116193	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
97	1621.246170828	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
98	1621.246554678	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
99	1666.226874234	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
100	1667.226824799	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
